起始节点,目标节点,关系
地表水,概述,包含
概述,地表水类型,包含
概述,地表水季节性变化,包含
概述,地表水所在地形特征,包含
地表水,地表水发育情况,包含
地表水,地表水与地下水关系,包含
地表水,地表水的补给与排泄,包含
地表水,补给与排泄,包含
地表水,水质分析,包含
地表水类型,河流水,类型
地表水类型,湖泊水,类型
地表水类型,冰川水,类型
地表水类型,沼泽水,类型
地表水类型,瀑布水,类型
地表水类型,溪流水,类型
地表水类型,雨水,类型
地表水类型,人工水库水,类型
地表水类型,池塘水,类型
地表水类型,沟渠水,类型
地表水类型,水田水,类型
地表水季节性变化,季节性明显,季节性特征
地表水季节性变化,季节性不明显,季节性特征
季节性明显,雨季水位上升，旱季水位下降,表现为
季节性明显,夏季水位上升，冬季水位下降,表现为
季节性明显,夏季水位下降，冬季水位上升,表现为
季节性明显,暴雨季节水量猛增数十倍,表现为
季节性明显,旱季河道干涸,表现为
季节性明显,季节性湖泊变化,表现为
季节性不明显,降水均匀分布,表现为
季节性不明显,全年干旱少雨,表现为
季节性不明显,地下水补给均衡,表现为
季节性不明显,常年高温多雨,表现为
地表水所在地形特征,山区沟谷,包含
地表水所在地形特征,平原河流,包含
地表水所在地形特征,湖泊盆地,包含
地表水所在地形特征,河口三角洲,包含
地表水所在地形特征,沿海地带,包含
地表水所在地形特征,湿地沼泽,包含
地表水所在地形特征,沙漠绿洲,包含
地表水所在地形特征,冰川山谷,包含
地表水所在地形特征,地下水溢出带,包含
地表水所在地形特征,人工水库,包含
地表水所在地形特征,城市水体（如公园湖泊、城市河流）,包含
地表水所在地形特征,农业灌溉渠,包含
地表水所在地形特征,洪泛平原,包含
地表水所在地形特征,喀斯特地貌区,包含
地表水所在地形特征,河岸泻湖,包含
地表水所在地形特征,河谷冲积扇,包含
地表水所在地形特征,沙漠内陆湖,包含
地表水所在地形特征,河谷阶地,包含
地表水所在地形特征,河床沙洲,包含
地表水发育情况,地表水发育,发育程度
地表水发育情况,地表水不发育,发育程度
地表水发育,地表水较为发育，有多条河流/溪流,表现为
地表水发育,地表水发育程度一般，有零星分布的小河流/溪流,表现为
地表水发育,地表水发育，形成较大的河流系统,表现为
地表水发育,地表水发育，广泛分布的湖泊和湿地,表现为
地表水发育,地表水发育，有永久性河流和季节性溪流,表现为
地表水发育,地表水发育，形成复杂的河网水系,表现为
地表水发育,地表水发育，有大量泉水出露,表现为
地表水发育,地表水发育，形成多个水库和人工湖,表现为
地表水发育,地表水发育，有广泛的沼泽和泥炭地,表现为
地表水发育,地表水发育，有多个瀑布和急流,表现为
地表水不发育,地表水不发育，仅个别冲沟内有季节性水流,表现为
地表水不发育,地表水不发育，多为地下水补给,表现为
地表水不发育,地表水不发育，主要为间歇性水流,表现为
地表水不发育,地表水不发育，以冰川和积雪为主,表现为
地表水不发育,地表水不发育，地表多为裸露岩石和沙地,表现为
地表水不发育,地表水不发育，主要为干旱和半干旱地区,表现为
地表水不发育,地表水不发育，主要为地下水流动,表现为
地表水的补给,大气降水,包含
地表水的补给,地下水补给,包含
地表水的补给,融雪,包含
地表水的补给,冰川融水,包含
地表水的补给,河流补给,包含
地表水的补给,湖泊出水,包含
地表水的补给,沼泽供水,包含
地表水的补给,湿地渗出,包含
地表水的补给,人工补水（如水库放水）,包含
地表水的补给,雨水收集系统供水,包含
地表水的补给,灌溉回归水,包含
地表水的补给,泉眼出流,包含
地表水的补给,潮汐补给（沿海地区）,包含
地表水的补给,人工排水系统,包含
地表水的补给,跨界河流补水,包含
地表水的补给,雨雪混合补给,包含
地表水的补给,人工渠道输水,包含
地表水的补给,渗透水补给,包含
补给与排泄,地表水的补给,包含
补给与排泄,地表水的排泄,包含
地表水的补给,雨水径流补给,包含
地表水的排泄,蒸发,包含
地表水的排泄,下渗,包含
地表水的排泄,径流,包含
地表水的排泄,地下径流,包含
地表水的排泄,河流排水,包含
地表水的排泄,湖泊蒸发,包含
地表水的排泄,湖泊外溢,包含
地表水的排泄,湿地排水,包含
地表水的排泄,人工排水,包含
地表水的排泄,灌溉用水,包含
地表水的排泄,渗漏至地下水,包含
地表水的排泄,蒸发-蒸腾,包含
地表水的排泄,冰川消融,包含
地表水的排泄,潮汐排水（沿海地区）,包含
地表水的排泄,人工水库排水,包含
地表水的排泄,河流-湖泊连通排水,包含
地表水的排泄,河流-湿地连通排水,包含
地表水的排泄,地表水体间流动,包含
地表水的排泄,人为取水（如工业和生活用水）,包含
地表水与地下水的关系,地表水下渗补给地下水,包含
地表水与地下水的关系,地下水通过泉眼出露成为地表水,包含
地表水与地下水的关系,地表水与地下水在河流与含水层之间的交互补给,包含
地表水与地下水的关系,地表水体（如湖泊、水库）与地下水的水力联系,包含
地表水与地下水的关系,地表水通过土壤和岩石的孔隙和裂隙渗透成为地下水,包含
地表水与地下水的关系,地下水通过人工井或抽水设施被提取至地表,包含
地表水与地下水的关系,地表水通过蒸发后以降水形式补给地下水,包含
地表水与地下水的关系,地表水通过河流渗漏补给地下水,包含
地表水与地下水的关系,地下水通过湿地和沼泽补给地表水,包含
地表水与地下水的关系,地表水通过冰川和积雪融水补给地下水,包含
地表水与地下水的关系,地下水通过人工渠道或排水系统流入地表水体,包含
地表水与地下水的关系,地表水通过灌溉回归补给地下水,包含
地表水与地下水的关系,地下水通过人工湿地系统补给地表水,包含
地表水与地下水的关系,地表水通过人工补水（如水库放水）补给地下水,包含
地表水与地下水的关系,地下水通过海岸带的地下水排泄口补给海水,包含
地表水与地下水的关系,地表水通过雨水收集系统补给地下水,包含
地表水与地下水的关系,地下水通过地下河或岩溶管道流入地表水体,包含
地表水与地下水的关系,地表水通过大气降水及地表水沿着可溶岩裂隙进入地下，对可溶岩进行溶蚀和冲刷作用，形成各种岩溶管道,包含
水质分析,水质类型（以侵蚀性分类）,包含
水质分析,盐晶类环境作用等级,包含
地下水,地下水概述,包含
地下水概述,测区/区内地下水主要存在类型,包含
第四孔隙水,第四孔隙水赋存状态,包含的描述有
第四孔隙水赋存状态,具体地层，比如坡洪积土层,状态描述
第四孔隙水赋存状态,具体地貌，比如坡残积,状态描述
水质类型（以侵蚀性分类）,低侵蚀性或无侵蚀性,侵蚀程度
水质类型（以侵蚀性分类）,中等侵蚀性,侵蚀程度
水质类型（以侵蚀性分类）,高侵蚀性,侵蚀程度
低侵蚀性或无侵蚀性,HCO3——Ca2+.Mg2+型水,包含的水质类型有
低侵蚀性或无侵蚀性,HCO3——Na+型水,包含的水质类型有
低侵蚀性或无侵蚀性,HCO3——K+型水,包含的水质类型有
低侵蚀性或无侵蚀性,HCO3——Ca2+型水,包含的水质类型有
低侵蚀性或无侵蚀性,HCO3——Mg2+型水,包含的水质类型有
低侵蚀性或无侵蚀性,HCO3——Na+.Ca2+型水,包含的水质类型有
低侵蚀性或无侵蚀性,HCO3——Na+.Mg2+型水,包含的水质类型有
低侵蚀性或无侵蚀性,HCO3——Ca2+.Na+型水,包含的水质类型有
中等侵蚀性,SO4——Ca2+型水,包含的水质类型有
中等侵蚀性,SO4——Na+型水,包含的水质类型有
中等侵蚀性,SO4——Mg2+型水,包含的水质类型有
中等侵蚀性,SO4——Na+.Ca2+型水,包含的水质类型有
中等侵蚀性,SO4——Ca2+.Mg2+型水,包含的水质类型有
中等侵蚀性,SO4——Na+.Ca2+.Mg2+型水,包含的水质类型有
高侵蚀性,Cl——Na+.K+型水,包含的水质类型有
高侵蚀性,Cl——Ca2+.Mg2+型水,包含的水质类型有
高侵蚀性,Cl——Na+型水,包含的水质类型有
高侵蚀性,Cl——Mg2+型水,包含的水质类型有
高侵蚀性,Cl——Ca2+型水,包含的水质类型有
高侵蚀性,Cl——Na+.Mg2+型水,包含的水质类型有
高侵蚀性,Cl——K+型水,包含的水质类型有
高侵蚀性,Cl——K+.Mg2+型水,包含的水质类型有
高侵蚀性,Cl——Ca2+.Na+型水,包含的水质类型有
高侵蚀性,Cl——Na+.Ca2+.Mg2+型水,包含的水质类型有
地下水,地下水类型,包含
地下水,地下水化学特征,包含
地下水,地下水的补给,包含
地下水,地下水的排泄,包含
地下水类型,第四孔隙水,包含
地下水类型,基岩裂隙水,包含
地下水类型,岩溶水,包含
第四孔隙水,第四孔隙水分布区域,包含的描述有
第四孔隙水,第四孔隙水水量特征,包含的描述有
第四孔隙水,第四孔隙水补给来源,包含的描述有
地下水化学特征,侵蚀性等级,包含的描述有
侵蚀性等级,"H1,H3等",包含的描述有
第四孔隙水分布区域,坡洪积土层中,分布的区域是
第四孔隙水分布区域,山前平原区,分布的区域是
第四孔隙水分布区域,山麓冲积扇边缘,分布的区域是
第四孔隙水分布区域,河流阶地,分布的区域是
第四孔隙水分布区域,河谷旁侧的低洼地带,分布的区域是
第四孔隙水分布区域,河谷中的沙洲和沙坝,分布的区域是
第四孔隙水分布区域,河漫滩上的沙质土层,分布的区域是
第四孔隙水分布区域,冲积平原的沙质和砾质土层,分布的区域是
第四孔隙水分布区域,洪泛平原的细砂和粉砂土层,分布的区域是
第四孔隙水分布区域,河口三角洲的沙质和粉沙土层,分布的区域是
第四孔隙水分布区域,滨海平原的沙质和粉沙土层,分布的区域是
第四孔隙水分布区域,湖泊周边的沙质和粉沙土层,分布的区域是
第四孔隙水分布区域,湿地和沼泽地带的沙质和粉沙土层,分布的区域是
第四孔隙水分布区域,地下水溢出带的沙质和粉沙土层,分布的区域是
第四孔隙水分布区域,人工灌溉区域的沙质和粉沙土层,分布的区域是
第四孔隙水分布区域,人工水库周边的沙质和粉沙土层,分布的区域是
第四孔隙水分布区域,城市化地区地下水位较高的沙质和粉沙土层,分布的区域是
第四孔隙水分布区域,地下水与地表水交互作用明显的沙质和粉沙土层,分布的区域是
第四孔隙水分布区域,地下水位较高的沿海沙质和粉沙土层,分布的区域是
第四孔隙水分布区域,地下水位较高的山前沙质和粉沙土层,分布的区域是
第四孔隙水水量特征,水量大小,水量特征
第四孔隙水水量特征,受季节影响程度大小,水量特征
第四孔隙水补给来源,大气降水,补给来源
第四孔隙水补给来源,地表水补给,补给来源
第四孔隙水补给来源,侧向径流,补给来源
第四孔隙水补给来源,地下水侧向流,补给来源
第四孔隙水补给来源,河流渗漏,补给来源
第四孔隙水补给来源,湖泊渗漏,补给来源
第四孔隙水补给来源,湿地渗出,补给来源
第四孔隙水补给来源,灌溉水入渗,补给来源
第四孔隙水补给来源,泉眼溢出,补给来源
